file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS015470	FASTQ	DNA	32237076	3221777966	31	99.9	100
SRS015574	FASTQ	DNA	26718093	2651644082	31	99.2	100
SRS015596	FASTQ	DNA	16094929	1606147916	31	99.8	100
SRS015650	FASTQ	DNA	13039247	1303032982	31	99.9	100
SRS015692	FASTQ	DNA	15539496	1544637975	31	99.4	100
SRS015755	FASTQ	DNA	15613023	1547103262	31	99.1	100
SRS015803	FASTQ	DNA	28645998	2815993847	31	98.3	100
SRS015899	FASTQ	DNA	31519641	3091739257	31	98.1	100
SRS015947	FASTQ	DNA	21679693	2147560457	31	99.1	100
SRS015989	FASTQ	DNA	30078887	2910975105	31	96.8	100
SRS016043	FASTQ	DNA	16287125	1620991426	31	99.5	100
SRS016071	FASTQ	DNA	19939778	1991825870	31	99.9	100
SRS016092	FASTQ	DNA	25399947	2537731153	31	99.9	100
SRS016139	FASTQ	DNA	13720039	1370377716	31	99.9	100
SRS016200	FASTQ	DNA	24285742	2426816974	31	99.9	100
SRS016331	FASTQ	DNA	25122620	2405927429	31	95.8	100
SRS016393	FASTQ	DNA	14425833	1429016640	31	99.1	101
SRS016474	FASTQ	DNA	16825183	1667957647	31	99.1	101
SRS016665	FASTQ	DNA	16547961	1642657793	31	99.3	101
SRS016876	FASTQ	DNA	14873973	1497281180	31	100.7	101
SRS017025	FASTQ	DNA	14941982	1506482238	31	100.8	101
SRS017088	FASTQ	DNA	7457076	734745366	31	98.5	101
SRS017227	FASTQ	DNA	19615212	1975753972	31	100.7	101
SRS017304	FASTQ	DNA	21090862	2072468033	31	98.3	101
SRS017330	FASTQ	DNA	9560708	943562003	31	98.7	101
SRS017387	FASTQ	DNA	5726348	566937513	31	99	101
SRS017445	FASTQ	DNA	29013693	2921944007	31	100.7	101
SRS017634	FASTQ	DNA	10026018	994944877	31	99.2	101
SRS017757	FASTQ	DNA	51966102	5205833905	31	100.2	101
SRS017788	FASTQ	DNA	27265074	2700395995	31	99	101
SRS018061	FASTQ	DNA	14238191	1406542813	31	98.8	101
SRS018157	FASTQ	DNA	44738849	4403723429	31	98.4	101
SRS018337	FASTQ	DNA	19189332	1882876545	31	98.1	101
SRS018394	FASTQ	DNA	35787977	3510469284	31	98.1	101
SRS018479	FASTQ	DNA	60079694	6005061596	31	100	101
SRS018513	FASTQ	DNA	32910370	3237371134	31	98.4	101
SRS018573	FASTQ	DNA	48867825	4784867646	31	97.9	100
SRS018602	FASTQ	DNA	15931354	1592194957	31	99.9	100
SRS018616	FASTQ	DNA	19785363	1973788198	31	99.8	100
SRS018665	FASTQ	DNA	35060502	3412789953	31	97.3	100
SRS018691	FASTQ	DNA	13664846	1364275237	31	99.8	100
SRS018750	FASTQ	DNA	24509339	2446629503	31	99.8	100
SRS018778	FASTQ	DNA	20350371	1934003955	31	95	100
SRS018802	FASTQ	DNA	13617974	1360055266	31	99.9	100
SRS018826	FASTQ	DNA	35062123	3496853825	31	99.7	100
SRS018929	FASTQ	DNA	14496921	1444846951	31	99.7	100
SRS018975	FASTQ	DNA	40027794	4000507147	31	99.9	100
SRS019028	FASTQ	DNA	34620539	3460084707	31	99.9	100
SRS019077	FASTQ	DNA	42061182	4172806846	31	99.2	100
