clade_name	NCBI_tax_id	SRS149196	SRS149090	SRS148832	SRS144713	SRS144312	SRS143690	SRS143147	SRS142557	SRS097963	SRS097925	SRS077646	SRS077453	SRS077397	SRS077236	SRS076865	SRS076761	SRS075980	SRS075883	SRS075778	SRS058213	SRS054061	SRS053437	SRS052590	SRS051613	SRS050025	SRS046344	SRS020868	SRS020386	SRS020232	SRS019986	SRS019597	SRS019386	SRS019339	SRS019215	SRS018784	SRS018671	SRS018585	SRS018463	SRS018369	SRS018312	SRS017820	SRS017697	SRS017451	SRS017244	SRS017156	SRS017044	SRS016752	SRS016581	SRS016553	SRS016513	SRS016434	SRS016292	SRS016188	SRS016033	SRS015996	SRS015937	SRS015752	SRS015640	SRS015450	SRS015430	SRS015269	SRS015051	SRS014901	SRS014682	SRS014464	SRS013956	SRS013876	SRS013637	SRS013269	SRS013155	SRS012663	SRS012291	SRS011397	SRS011263	SRS011132
s__Cardiobacterium_hominis	2|1224|1236|135615|868|2717|2718	0	0	0	0	0	0	0	0	0	0	0	0.17428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Escherichia_coli	2|1224|1236|91347|543|561|562	0	0	0	0	0	0	0	0	0	0	6.99083	0	0	0	0	0	0	0	0	0	0	0	0	0.39751	0	0	0	0	0	0	0	0	0	0	0	0	0.0799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Klebsiella_aerogenes	2|1224|1236|91347|543|570|548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95611	4.20172	0.42234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Klebsiella_pneumoniae	2|1224|1236|91347|543|570|573	0	0	0	0	0	0	0	0	0	0	9.75759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.77419	1.3845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Klebsiella_quasipneumoniae	2|1224|1236|91347|543|570|1463165	0	0	0	0	0	0	0	0	0	0	0.85059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Klebsiella_variicola	2|1224|1236|91347|543|570|244366	0	0	0	0	0	0	0	0	0	0	2.07127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Proteus_mirabilis	2|1224|1236|91347|1903414|583|584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Haemophilus_haemolyticus	2|1224|1236|135625|712|724|726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Haemophilus_influenzae	2|1224|1236|135625|712|724|727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Haemophilus_parainfluenzae	2|1224|1236|135625|712|724|729	0.05541	4.05428	1.03765	10.69174	1.89707	1.22783	0.10335	0	0	0	0	0.83208	0	25.35772	0.4351	0.35887	0.94616	0.03706	1.71597	0	0	0	0	0	0.0275	0	0	0.07259	0	0	0	0	0	0	0	0	0.32256	1.62707	0	0	0.12666	0	3.08313	0	0	0.16454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18202	0	0	0	0	0	0	0	0	0	0.44524	0	0
s__Haemophilus_sp_HMSC71H05	2|1224|1236|135625|712|724|1608898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Moraxella_catarrhalis	2|1224|1236|72274|468|475|480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.91474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.97635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Moraxella_lincolnii	2|1224|1236|72274|468|475|90241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94299	0	0	0	0	0	0	0
s__Moraxella_nonliquefaciens	2|1224|1236|72274|468|475|478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.32499	0	0	0	0	0	0	0	0	0	0	0	79.89278	16.8693	0	0	0	0	0	0	0	89.94987	27.86902	0	0	8.39111	0	0	14.60426	0	0	0	0	0	15.30769	0	0	0	0	70.15204	0	0	0	0	0	17.75567	0	21.09428	0	0	0	53.06108	0	0	41.47283	0	0
s__Tepidiphilus_thermophilus	2|1224|2008785|119069|206349|203470|876478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Malassezia_globosa	2759|5204|1538075|162474|742845|55193|76773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Malassezia_restricta	2759|5204|1538075|162474|742845|55193|76775	0.6594	0	0	0	1.8867	2.09346	0	0	0	0	0.01832	0.11661	2.91859	0	5.70459	0	0	0.50982	0	0.35761	8.94173	0	0	0	4.52345	19.19477	0	0.17162	0	22.8369	0.13595	0.33325	0	0	16.39053	1.3917	3.54284	0	0	0	0.17896	0	1.01406	0	0.18805	1.23826	5.41761	1.64652	6.30037	4.62231	5.13062	6.15001	5.00474	0	13.6007	0.30165	0.0728	0	0.9493	2.51691	0	0.11311	28.50769	2.5808	20.98333	6.90095	0.62093	1.80269	1.54969	0.66911	0.83227	0	0	0	0
