clade_name	NCBI_tax_id	SRS055118	SRS050628	SRS050029	SRS050007	SRS048719	SRS045262	SRS045254	SRS045049	SRS043646	SRS042457	SRS023354	SRS022721	SRS022532	SRS022145	SRS020858	SRS020336	SRS019976	SRS019587	SRS019391	SRS019329	SRS019221	SRS018661	SRS018359	SRS018329	SRS018149	SRS017810	SRS017687	SRS017537	SRS017441	SRS017215	SRS017127	SRS017080	SRS017013	SRS016600	SRS016533	SRS016503	SRS016349	SRS016297	SRS016196	SRS016088	SRS016039	SRS015921	SRS015895	SRS015745	SRS015646	SRS015436	SRS015374	SRS015274	SRS015154	SRS015040	SRS014890	SRS014686	SRS014575	SRS014472	SRS014126	SRS013945	SRS013881	SRS013825	SRS013711	SRS013506	SRS013239	SRS012281	SRS011310	SRS011247	SRS011144	SRS011090
g__Bacteroides	2|976|200643|171549|815|816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145	0	0	0.01416	0	0	0	0	0.00178	0.00576	0.31277	0	0	9.90652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2967	0.02967	0	0	0	0	0.02259	0.25401	0
g__Barnesiella	2|976|200643|171549|2005519|397864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Coprobacter	2|976|200643|171549|2005519|1348911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Odoribacter	2|976|200643|171549|1853231|283168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Porphyromonas	2|976|200643|171549|171551|836	1.71418	1.22772	3.63302	0.18788	0.0003	0.20362	0.179	1.66258	0.66846	1.01141	0.15611	2.725	0.24514	0.13744	0.07878	0.05677	0.36958	0.07684	0.0853	0.68939	0.15292	2.52703	0.61252	0.04835	0.4155	2.25887	0.93553	0.23994	1.28977	0.46775	0	0.078	0.50465	0.66594	0	0	0.09512	0.21518	0.10027	0	0.03613	0.05419	0.03476	1.78902	0.02858	0.88291	0.01723	0	1.20587	0.03596	0.53356	0.34372	1.93738	0.26178	0.03785	0.46944	2.45937	0.85144	2.71552	0.04333	0	0.58347	0.8489	0.73986	0.12475	0.05973
g__Alloprevotella	2|976|200643|171549|171552|1283313	0	1.10537	0.02287	0	0	0	0.01717	0.0589	0.1293	0.01845	0.02577	0.16098	0	0.03068	0	0.08323	0	0	0	1.18451	0	0.1746	0.15477	0.04658	0.07989	0.48535	0.24183	0.00101	0.0427	0.0614	0.09315	0	0.05045	0	0	0	0.02113	0	0.00484	0	0	0	0	0.08317	0	0.0564	0	0	0.03677	0.01134	0.02048	0.19785	0	0	0	0.00712	0.32259	0.26825	0.31863	0	0.42992	0	0.02261	0	0.02642	0
g__Paraprevotella	2|976|200643|171549|171552|577309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01099	0	0	0	0	0	0	0	0
g__Prevotella	2|976|200643|171549|171552|838	0	0.39252	0.17084	1.40972	0.12813	0.15969	2.39711	0.36573	1.47277	1.041	1.25908	2.05584	0.19957	0.15206	2.20399	5.37842	1.68175	0.30425	0.01843	0.1074	0.93064	2.17502	1.33201	0.43613	0.08023	9.68378	3.13252	0.15281	1.02237	0.40092	0	5.27382	0.37904	0.20598	0.21865	0.18897	5.40468	0.95221	0.01966	0.28808	0.0736	0.1979	0.18703	0.81853	0.18632	0.43944	0.06038	0.89033	0.77596	0.25843	0.01064	5.45328	0.45362	0.36184	0.00332	0.10314	0.49616	2.2018	14.78761	0.20665	1.62696	0	0.08321	1.69534	1.45183	0.07436
g__Alistipes	2|976|200643|171549|171550|239759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02514	0	0	1.19668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486	0	0	0	0	0	0	0	0
g__Parabacteroides	2|976|200643|171549|2005525|375288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09092	0.02564	0	0	0	0	0	0	0
