BGC	cluster_0.2	cluster_0.8
1425	548	13
1426	670	33
1427	276	11
1428	63	4
1429	853	15
1430	1368	54
1431	548	13
1432	2477	13
1433	2060	13
1434	548	13
1435	423	33
1436	63	4
1437	853	15
1438	1368	54
1439	548	13
1440	2060	13
1441	2060	13
1442	548	13
1443	63	4
1444	853	15
1445	1368	54
1446	548	13
1447	2060	13
1448	2060	13
1449	2060	13
1450	1131	13
1451	346	13
1452	670	33
1453	63	4
1454	853	15
1455	1368	54
1456	548	13
1457	2060	13
1458	202	13
1459	2662	33
1460	63	4
1461	853	15
1462	572	54
1463	2060	13
1464	548	13
1465	670	33
1466	63	4
1467	853	15
1468	572	54
1469	1131	13
1470	36	13
1471	670	33
1472	63	4
1473	853	15
1474	1368	54
1475	548	13
1476	2060	13
1477	2060	13
1478	1131	13
1479	36	13
1480	276	11
1481	63	4
1482	853	15
1483	1368	54
1484	548	13
1485	2477	13
1486	1131	13
1487	202	13
1488	2662	33
1489	276	11
1490	63	4
1491	572	54
1492	2477	13
1493	2060	13
1494	202	13
1495	2662	33
1496	63	4
1497	853	15
1498	572	54
1499	2060	13
1500	202	13
1501	1401	33
1502	63	4
1503	853	15
1504	572	54
1505	1131	13
1506	202	13
1507	1401	33
1508	276	11
1509	63	4
1510	853	15
1511	1368	54
1512	548	13
1513	2477	13
1514	1131	13
1515	36	13
1516	670	33
1517	63	4
1518	853	15
1519	1368	54
1520	548	13
1521	1131	13
1522	202	13
1523	2662	33
1524	276	11
1525	63	4
1526	853	15
1527	572	54
1528	2477	13
1529	1131	13
1530	202	13
1531	670	33
1532	276	11
1533	63	4
1534	853	15
1535	1368	54
1536	548	13
1537	1131	13
1538	36	13
1539	670	33
1540	276	11
1541	63	4
1542	853	15
1543	1368	54
1544	548	13
1545	2477	13
1546	2060	13
1547	1131	13
1548	36	13
1549	63	4
1550	572	54
1551	2060	13
1552	2060	13
1553	548	13
1554	670	33
1555	276	11
1556	63	4
1557	1368	54
1558	548	13
1559	2477	13
1560	2060	13
1561	202	13
1562	2662	33
1563	63	4
1564	853	15
1565	572	54
1566	2662	33
1567	63	4
1568	853	15
1569	1368	54
1570	548	13
1571	2060	13
1572	2060	13
1573	346	13
1574	2060	13
1575	1131	13
1576	36	13
1577	670	33
1578	63	4
1579	853	15
1580	1368	54
1581	548	13
1582	2060	13
1583	548	13
1584	2662	33
1585	276	11
1586	63	4
1587	853	15
1588	548	13
1589	2060	13
1590	346	13
1591	2060	13
1592	346	13
1593	670	33
1594	63	4
1595	853	15
1596	1368	54
1597	548	13
1598	2060	13
1599	548	13
1600	423	33
1601	63	4
1602	853	15
1603	1368	54
1604	548	13
1605	2060	13
1606	548	13
1607	2662	33
1608	63	4
1609	853	15
1610	548	13
1611	2477	13
1612	1131	13
1613	36	13
1614	670	33
1615	63	4
1616	853	15
1617	572	54
